iter	Passed	Remaining
0	149	149002
1	237	118641
2	316	105341
3	397	99081
4	473	94161
5	550	91248
6	629	89262
7	710	88051
8	788	86862
9	866	85816
10	946	85133
11	1024	84378
12	1105	83940
13	1186	83547
14	1269	83377
15	1344	82683
16	1424	82349
17	1504	82100
18	1587	81943
19	1666	81634
20	1745	81388
21	1827	81258
22	1904	80916
23	1987	80828
24	2069	80693
25	2149	80527
26	2235	80553
27	2316	80423
28	2396	80232
29	2478	80127
30	2555	79870
31	2630	79580
32	2709	79394
33	2785	79135
34	2860	78863
35	2935	78598
36	3013	78433
37	3091	78271
38	3173	78191
39	3251	78035
40	3332	77946
41	3407	77723
42	3484	77552
43	3561	77385
44	3649	77441
45	3725	77256
46	3801	77073
47	3873	76816
48	3954	76750
49	4029	76551
50	4107	76433
51	4186	76325
52	4268	76268
53	4347	76166
54	4424	76025
55	4499	75848
56	4576	75712
57	4653	75574
58	4725	75360
59	4800	75211
60	4874	75032
61	4948	74872
62	5030	74814
63	5105	74671
64	5183	74559
65	5257	74395
66	5331	74243
67	5406	74095
68	5480	73946
69	5559	73866
70	5636	73748
71	5718	73707
72	5793	73565
73	5868	73433
74	5945	73323
75	6022	73215
76	6097	73093
77	6170	72943
78	6246	72822
79	6326	72751
80	6396	72567
81	6476	72500
82	6551	72378
83	6627	72276
84	6702	72152
85	6782	72084
86	6856	71954
87	6931	71831
88	7006	71716
89	7082	71612
90	7157	71492
91	7227	71328
92	7298	71178
93	7371	71051
94	7442	70895
95	7523	70841
96	7604	70790
97	7680	70690
98	7760	70629
99	7836	70532
100	7913	70437
101	7986	70311
102	8062	70211
103	8135	70087
104	8207	69958
105	8284	69872
106	8364	69804
107	8436	69675
108	8517	69622
109	8590	69502
110	8666	69413
111	8740	69298
112	8816	69203
113	8885	69058
114	8965	68992
115	9039	68887
116	9113	68783
117	9187	68669
118	9258	68543
119	9334	68451
120	9413	68382
121	9484	68258
122	9554	68126
123	9630	68037
124	9709	67967
125	9783	67861
126	9855	67745
127	9930	67654
128	10003	67541
129	10078	67445
130	10148	67322
131	10221	67216
132	10296	67122
133	10370	67020
134	10445	66926
135	10513	66794
136	10587	66694
137	10662	66600
138	10735	66500
139	10809	66402
140	10886	66320
141	10956	66201
142	11027	66085
143	11101	65989
144	11176	65900
145	11252	65819
146	11324	65711
147	11396	65607
148	11467	65494
149	11540	65393
150	11609	65276
151	11682	65177
152	11756	65085
153	11829	64986
154	11907	64913
155	11980	64820
156	12057	64740
157	12129	64641
158	12203	64548
159	12280	64471
160	12350	64360
161	12428	64289
162	12507	64223
163	12581	64137
164	12652	64028
165	12732	63969
166	12805	63874
167	12883	63805
168	12962	63740
169	13042	63677
170	13120	63605
171	13190	63500
172	13264	63409
173	13339	63325
174	13416	63249
175	13485	63138
176	13558	63041
177	13637	62979
178	13714	62900
179	13790	62823
180	13863	62732
181	13938	62645
182	14017	62579
183	14088	62479
184	14163	62397
185	14238	62312
186	14310	62216
187	14384	62128
188	14454	62024
189	14528	61936
190	14599	61839
191	14673	61749
192	14742	61645
193	14760	61323
194	14832	61231
195	14902	61129
196	14978	61053
197	15050	60963
198	15124	60879
199	15197	60789
200	15275	60721
201	15353	60653
202	15435	60599
203	15513	60534
204	15590	60462
205	15664	60378
206	15682	60077
207	15758	60003
208	15832	59922
209	15903	59828
210	15977	59744
211	16049	59655
212	16124	59575
213	16200	59502
214	16272	59413
215	16349	59341
216	16423	59260
217	16500	59190
218	16578	59123
219	16651	59035
220	16725	58957
221	16800	58878
222	16874	58797
223	16944	58699
224	17024	58639
225	17102	58573
226	17177	58493
227	17252	58414
228	17327	58337
229	17402	58259
230	17472	58167
231	17546	58084
232	17626	58022
233	17697	57932
234	17774	57862
235	17849	57784
236	17922	57699
237	17996	57617
238	18070	57537
239	18143	57455
240	18217	57372
241	18287	57281
242	18362	57203
243	18440	57133
244	18508	57037
245	18584	56961
246	18656	56875
247	18732	56801
248	18807	56724
249	18882	56646
250	18960	56578
251	19036	56505
252	19110	56425
253	19184	56345
254	19263	56280
255	19334	56191
256	19407	56108
257	19478	56020
258	19555	55947
259	19628	55866
260	19707	55799
261	19781	55720
262	19853	55636
263	19928	55558
264	19999	55471
265	20077	55402
266	20152	55325
267	20223	55237
268	20298	55161
269	20376	55093
270	20448	55007
271	20518	54918
272	20590	54831
273	20675	54781
274	20748	54699
275	20824	54626
276	20899	54548
277	20974	54473
278	21045	54386
279	21118	54303
280	21186	54210
281	21265	54143
282	21340	54067
283	21413	53987
284	21483	53898
285	21557	53818
286	21633	53745
287	21708	53667
288	21786	53598
289	21859	53518
290	21932	53437
291	22005	53356
292	22076	53269
293	22147	53184
294	22221	53104
295	22293	53022
296	22369	52947
297	22449	52884
298	22522	52803
299	22594	52720
300	22670	52646
301	22744	52569
302	22815	52483
303	22890	52406
304	22962	52324
305	23037	52248
306	23110	52167
307	23181	52083
308	23258	52011
309	23336	51941
310	23406	51854
311	23478	51773
312	23550	51690
313	23629	51623
314	23699	51536
315	23768	51449
316	23847	51380
317	23919	51298
318	23995	51224
319	24069	51148
320	24139	51061
321	24211	50979
322	24282	50895
323	24355	50816
324	24429	50738
325	24507	50668
326	24580	50589
327	24651	50504
328	24721	50420
329	24800	50352
330	24871	50269
331	24941	50182
332	25016	50108
333	25087	50024
334	25161	49947
335	25243	49885
336	25315	49803
337	25396	49740
338	25467	49656
339	25543	49584
340	25622	49517
341	25695	49437
342	25768	49358
343	25846	49288
344	25915	49201
345	25990	49125
346	26065	49051
347	26136	48968
348	26208	48887
349	26284	48814
350	26357	48735
351	26430	48656
352	26504	48579
353	26580	48505
354	26652	48425
355	26723	48342
356	26793	48258
357	26866	48179
358	26939	48101
359	27010	48019
360	27083	47940
361	27158	47865
362	27230	47784
363	27301	47703
364	27380	47633
365	27448	47548
366	27529	47483
367	27604	47406
368	27680	47333
369	27753	47256
370	27825	47176
371	27897	47094
372	27965	47008
373	28039	46932
374	28111	46851
375	28187	46779
376	28262	46704
377	28336	46628
378	28406	46544
379	28477	46462
380	28550	46385
381	28625	46309
382	28697	46230
383	28766	46146
384	28843	46074
385	28918	45999
386	28990	45920
387	29061	45839
388	29136	45764
389	29214	45694
390	29288	45617
391	29364	45544
392	29437	45466
393	29512	45392
394	29581	45308
395	29661	45241
396	29732	45160
397	29804	45081
398	29876	45002
399	29948	44922
400	30021	44845
401	30092	44764
402	30162	44682
403	30236	44606
404	30306	44524
405	30380	44448
406	30456	44375
407	30530	44299
408	30602	44219
409	30680	44149
410	30756	44076
411	30828	43997
412	30898	43916
413	30975	43844
414	31046	43764
415	31120	43688
416	31196	43615
417	31268	43536
418	31339	43456
419	31414	43382
420	31489	43307
421	31568	43238
422	31642	43161
423	31715	43085
424	31787	43007
425	31861	42930
426	31932	42850
427	32011	42781
428	32080	42699
429	32148	42616
